Mes,Toneladas
1,15288.1
2,13247.3
3,14326.6
4,13327.75
5,12810.04
6,11130.03
7,12716.12
8,12302.11
9,12104.87
10,12507.88
11,13017.59
12,14747.87
13,15396.15
14,12989.21
15,14675.32
16,13001.31
17,13331.22
18,12771.62
19,12679.95
20,13018.55
21,12755.22
22,15321.86183
23,15815.46
24,17909.84
25,16054.47
26,14016.04
27,14468.9
28,13951.31
29,14533.15
30,13514.87
31,13025.5
32,12944.75
33,12919.36
34,13802.04
35,13619.29
36,15355.32
37,15562.9
38,13625.09
39,13939.14
40,13538.17
41,13824.54
42,13429.4
43,13414.81
44,13048.88
45,13293.72
46,13403.45
47,12600.785
48,15167.97
49,15160.52
50,13451.09
51,14757.68
52,13808.7
53,13551.17
54,13416.72
55,13495.79
56,12970.79
57,12984.9
58,14039.76
59,13995.76
60,16651.9
61,16728.52
62,15488.41
63,16478.51
64,14866.61
65,14774.81
66,14386.02
67,14105.68
68,13929.39
69,13355.92
70,13774.22
71,14078.42
72,15850.57
73,17026.04
74,16007.85
75,15856.85
76,14539.04
77,14371.13
78,13703.231
79,13715.6
80,13980.84
81,13333.27
82,13885.32
83,14310.06
84,16899.85
85,16546.1
86,15557.81
87,16101.53
88,14820.05
89,14926.05
90,14324.92
91,14426.05
92,13891.18
93,13552.43
94,14822.54
95,15196.19
96,17101.97
97,17458.28
98,15378.26
99,15995.54
100,15288.53
101,15260.51
102,14562.93
103,15532.71
104,14640.66
105,14050.13
106,15173.05
107,15350.46
108,17687.07
109,16892.57037
110,15245.80381
111,15797.51538
112,15327.43822
113,15369.2607
114,14719.58351
115,15856.81695
116,14937.94281
117,14311.02727
118,15482.96546
119,15664.87084
120,18043.75245
121,18568.33
122,16272.98
123,17743.18
124,16839.1
125,16946.26
126,16727.94
127,16387.2
128,16234.6
129,16284.24
130,16985.01
131,17346.81
132,19972.15
133,19532.49
134,18121.93
135,18674.82
136,17643.25
137,17840.49
138,17054.98
139,17003.56
140,16821.56
141,16179.82
142,17136.59
143,16609.46
144,19935.38
145,19766.44
146,16896.13
147,19470.6
148,18074.8
149,19599.78
150,18970.06
151,17946.116
152,17711.16
153,17871.79
154,18514.69
155,18388.23
156,21223.63
157,20699.17
158,19088.29
159,20940.78
160,19100.06
161,19376.2
162,18618.57
163,18945.42
164,18756.75
165,18319.86
166,20106.44
167,19980.45
168,22438.1
169,14592.56
170,23900.26
171,20928.61
172,20100.47
173,20100.39
174,18682.6
175,19137.49
176,18078.7
177,17118.65
178,19713.96
179,15996.16
180,22324.5
181,22698.55
182,21778.97
183,22263.92
184,17956.98
185,17909.95
186,18826.83
187,17983.38
188,16872
189,18353.78
190,19127.83
191,19270.74
192,21896.27
193,21786.69
194,19083.84
195,21581.55
196,18227.09
197,21581.87
198,19327.03
199,19626.75
200,20162.12554
201,18356.93
202,19358.37
203,19606.97
204,22500.052
205,25111.99028
206,22617.09078
207,24803.98241
208,22855.14955
209,22715.80921
210,21360.23227
211,22591.69359
212,22009.42784
213,21247.40788
214,21684.3161
215,22262.69472
216,24511.54415
217,24152.38741
218,21641.10258
219,23202.89299
220,21814.99879
221,22335.60684
222,20684.42109
223,21141.98738
224,20597.04257
225,19883.87666
